predictor,raw_fi,fi,season,window,window_c,pred_cat
atemp_1d,9920.648881905068,0.09266896853419658,Spring/Summer,2,S2,Climate
d_temp,3106.3188003828245,0.029016182569963248,Spring/Summer,2,S2,Climate
d_sal,8349.31940953152,0.07799115026186217,Spring/Summer,2,S2,Climate
d_do,1551.4621759564411,0.014492237481354637,Spring/Summer,2,S2,Climate
fp_sal,19716.658450834446,0.17413258475499935,Spring/Summer,3,S3,FP
fp_depth_1d,8535.445996340477,0.07538291932609782,Spring/Summer,3,S3,FP
fp_depth_7d,5591.111602593269,0.049379296062818816,Spring/Summer,3,S3,FP
creek_depth,9362.81437254429,0.08269002941537461,Spring/Summer,3,S3,Creek
creek_depth_1d,8672.511773199765,0.07659344990689965,Spring/Summer,3,S3,Creek
creek_depth_7d,4524.912574696526,0.03996289352920034,Spring/Summer,3,S3,Creek
BP_hPa,2118.9548215589557,0.018714077792503094,Spring/Summer,3,S3,Climate
month,13575.273321692906,0.11989341085136701,Spring/Summer,3,S3,Time
sun_position,1690.6294635833353,0.014931215605870829,Spring/Summer,3,S3,Time
par,714.6972693362669,0.006312027118449022,Spring/Summer,3,S3,Climate
par_7d,6468.9491305161255,0.05713213704818754,Spring/Summer,3,S3,Climate
rain_mm,13.728917472322442,1.2125035747334774e-4,Spring/Summer,3,S3,Climate
rain_1d,1186.4194752505225,0.010478159387109534,Spring/Summer,3,S3,Climate
rain_7d,5213.79110341106,0.046046896002865254,Spring/Summer,3,S3,Climate
air_temp,7335.676106227818,0.06478685242168294,Spring/Summer,3,S3,Climate
d_temp,5207.41868233433,0.0459906163773899,Spring/Summer,3,S3,Climate
d_sal,10396.84983071725,0.09182237136413708,Spring/Summer,3,S3,Climate
d_do,2902.008624253667,0.025629812677573877,Spring/Summer,3,S3,Climate
fp_depth,10813.656098504582,0.09508210442203718,Spring/Summer,4,S4,FP
fp_sal,14712.827753119083,0.12936666489319673,Spring/Summer,4,S4,FP
fp_temp,20757.581328219876,0.18251685622512728,Spring/Summer,4,S4,FP
fp_depth_7d,3580.923294483341,0.03148627249764819,Spring/Summer,4,S4,FP
creek_depth,12563.768120492556,0.110470455272952,Spring/Summer,4,S4,Creek
creek_depth_1d,8032.070487001129,0.07062423271217375,Spring/Summer,4,S4,Creek
creek_depth_7d,3032.3868453348373,0.02666311190680564,Spring/Summer,4,S4,Creek
BP_hPa,1694.483853842419,0.014899224579074737,Spring/Summer,4,S4,Climate
sun_position,1742.428383194118,0.015320790301597952,Spring/Summer,4,S4,Time
par,576.3304257942203,0.005067546926570128,Spring/Summer,4,S4,Climate
par_7d,4953.030632004563,0.043550911131983706,Spring/Summer,4,S4,Climate
rain_mm,14.550503889741426,1.279393867934246e-4,Spring/Summer,4,S4,Climate
rain_1d,888.5856167831931,0.007813138279345114,Spring/Summer,4,S4,Climate
