predictor,raw_fi,fi,season,window,window_c
air_temp,4467.772958440462,0.03987649829718833,Spring/Summer,2,S2
rain_mm,26.036018636627734,2.3238093396569024e-4,Spring/Summer,2,S2
par,676.0150199310989,0.006033679876285824,Spring/Summer,2,S2
BP_hPa,1621.2850504862179,0.014470558633207259,Spring/Summer,2,S2
air_temp_1d,10170.46178268108,0.09077506975651428,Spring/Summer,2,S2
par_1d,1678.6013531642816,0.014982127476880271,Spring/Summer,2,S2
rain_mm_1d,1055.902507119764,0.009424313840212627,Spring/Summer,2,S2
BP_hPa_1d,2525.6582802073594,0.022542418571136195,Spring/Summer,2,S2
creek_sal,9174.226571926654,0.0780829355216638,Spring/Summer,3,S3
creek_do,5808.758581628228,0.049439036439116006,Spring/Summer,3,S3
creek_depth,10103.69917410704,0.08599378759144896,Spring/Summer,3,S3
creek_depth_1d,5865.539280099523,0.04992230372958996,Spring/Summer,3,S3
creek_sal_1d,4100.806685930395,0.034902454341398055,Spring/Summer,3,S3
creek_do_1d,18252.41544000139,0.15534848270233492,Spring/Summer,3,S3
fp_do,1908.5155753937086,0.016243603474059634,Spring/Summer,3,S3
fp_depth,11896.465972412581,0.1012522394315013,Spring/Summer,3,S3
fp_depth_1d,5069.979445008711,0.04315119917707009,Spring/Summer,3,S3
fp_sal_1d,16111.804144853304,0.13712948490175067,Spring/Summer,3,S3
fp_do_1d,1660.9451225632342,0.014136501850410573,Spring/Summer,3,S3
air_temp,5574.492415040005,0.04744516918096586,Spring/Summer,3,S3
rain_mm,21.566508589356353,1.8355512439197075e-4,Spring/Summer,3,S3
par,688.4303698621312,0.005859312908795,Spring/Summer,3,S3
BP_hPa,1658.7392050603326,0.014117727023694144,Spring/Summer,3,S3
air_temp_1d,13861.007533737878,0.1179726867476806,Spring/Summer,3,S3
par_1d,2020.7121778996705,0.017198522126933385,Spring/Summer,3,S3
rain_mm_1d,1154.2632184651627,0.009824071790230034,Spring/Summer,3,S3
BP_hPa_1d,2560.994099174724,0.021796925936964983,Spring/Summer,3,S3
creek_temp,6659.07972271599,0.0563856584649834,Spring/Summer,4,S4
creek_sal,9860.600388913894,0.0834944870673828,Spring/Summer,4,S4
creek_do,2694.122132537098,0.022812439068717317,Spring/Summer,4,S4
creek_depth,14391.95771717435,0.12186368781782574,Spring/Summer,4,S4
creek_depth_1d,6669.881317347595,0.056477120806798765,Spring/Summer,4,S4
creek_sal_1d,4242.066878908762,0.035919638175199706,Spring/Summer,4,S4
creek_do_1d,13908.341411085867,0.11776867394223271,Spring/Summer,4,S4
fp_do,1959.1100377867206,0.016588735093399348,Spring/Summer,4,S4
fp_depth,12607.879434710729,0.106757031508152,Spring/Summer,4,S4
fp_depth_1d,4219.248811466348,0.03572642652866394,Spring/Summer,4,S4
fp_sal_1d,18039.314118890954,0.15274762387669344,Spring/Summer,4,S4
fp_do_1d,2039.7187067868801,0.01727128779870111,Spring/Summer,4,S4
air_temp,3429.629446173229,0.02904033630258155,Spring/Summer,4,S4
rain_mm,31.436208024557768,2.6618562367712985e-4,Spring/Summer,4,S4
par,681.6349112775221,0.005771733468514122,Spring/Summer,4,S4
BP_hPa,1878.77628058238,0.015908510199637998,Spring/Summer,4,S4
air_temp_1d,9631.554548072681,0.08155504481826222,Spring/Summer,4,S4
par_1d,1926.7197702932733,0.0163144709853658,Spring/Summer,4,S4
rain_mm_1d,1138.063372931733,0.009636534675915097,Spring/Summer,4,S4
BP_hPa_1d,2089.684661565523,0.0176943737772958,Spring/Summer,4,S4
creek_temp,4307.999066028714,0.047202150506391295,Spring/Summer,5,S5
creek_sal,10533.59758678657,0.11541517327291496,Spring/Summer,5,S5
creek_do,2279.899676461529,0.024980545728626354,Spring/Summer,5,S5
creek_depth,13171.34852704838,0.14431664585271037,Spring/Summer,5,S5
creek_depth_1d,3443.7143827169975,0.037732302654345254,Spring/Summer,5,S5
creek_sal_1d,3188.485583450299,0.03493579596715649,Spring/Summer,5,S5
fp_do,1011.5898661988492,0.011083850386967575,Spring/Summer,5,S5
fp_depth,11247.022556322176,0.12323207208623814,Spring/Summer,5,S5
fp_depth_1d,3728.844371741306,0.04085643254609519,Spring/Summer,5,S5
fp_sal_1d,7494.818198281099,0.08211968739803503,Spring/Summer,5,S5
fp_temp_1d,12350.273058992743,0.13532023540176866,Spring/Summer,5,S5
fp_do_1d,615.4129599422416,0.006742994767070785,Spring/Summer,5,S5
air_temp,1949.4212760946261,0.021359539559836712,Spring/Summer,5,S5
rain_mm,25.172659587457254,2.7581335285400716e-4,Spring/Summer,5,S5
par,716.07253541716,0.007845907826858546,Spring/Summer,5,S5
BP_hPa,1972.356161107898,0.021610833925887075,Spring/Summer,5,S5
air_temp_1d,7844.341133677402,0.08594936190565294,Spring/Summer,5,S5
par_1d,1502.7437012833952,0.01646535509254392,Spring/Summer,5,S5
rain_mm_1d,836.6987444860974,0.009167592532035652,Spring/Summer,5,S5
BP_hPa_1d,3047.1963387790606,0.03338770923601102,Spring/Summer,5,S5
creek_temp,1822.546708342563,0.012673982628623702,Fall/Winter,1,F1
creek_sal,5427.741617985314,0.037744493825106355,Fall/Winter,1,F1
creek_do,1182.7271155232932,0.00822467970117283,Fall/Winter,1,F1
creek_depth,6808.805063846747,0.047348403585966675,Fall/Winter,1,F1
creek_depth_1d,15098.192523363308,0.10499277131763703,Fall/Winter,1,F1
creek_sal_1d,5191.388206650588,0.03610089313396333,Fall/Winter,1,F1
creek_temp_1d,3969.6214758766796,0.027604732102161446,Fall/Winter,1,F1
creek_do_1d,3167.0244557086266,0.022023475586302035,Fall/Winter,1,F1
fp_do,83.26453690562455,5.790212615631531e-4,Fall/Winter,1,F1
fp_depth,42140.34643822838,0.2930438030902335,Fall/Winter,1,F1
fp_depth_1d,14100.736371171186,0.09805646516546533,Fall/Winter,1,F1
fp_sal_1d,8157.3451768266195,0.05672614621811692,Fall/Winter,1,F1
fp_temp_1d,12435.389870817808,0.08647565216379885,Fall/Winter,1,F1
fp_do_1d,114.07291219550508,7.932625819379582e-4,Fall/Winter,1,F1
air_temp,1789.3473743723932,0.01244311459100701,Fall/Winter,1,F1
rain_mm,192.4201736391981,0.0013380891293138665,Fall/Winter,1,F1
par,1134.1130190712715,0.00788661746599452,Fall/Winter,1,F1
BP_hPa,4060.593073155665,0.028237348231193622,Fall/Winter,1,F1
air_temp_1d,2512.61666655224,0.0174727263990032,Fall/Winter,1,F1
