x_norm,y,mean_x,sd_x,pdp_var,season,window,window_c,x
0.03861972023674362,3.4469359358333342,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,79.49905851113677
0.0836662867253144,3.4477252435000008,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,82.18131898683006
0.12871285321388495,3.448601692500001,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,84.86357946252335
0.1737594197024555,3.4521023986666672,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,87.54583993821664
0.21719718024500576,3.453744221333334,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,90.13230539692088
0.2622437467335763,3.464355276000001,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,92.81456587261417
0.30889911916816737,3.4720747540000008,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,95.59262136529651
0.3539456856567379,3.478678271833334,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,98.27488184098979
0.3941658343072474,3.482408043000001,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,100.66975726571594
0.4392124007958179,3.487326917333334,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,103.35201774140923
0.4826501613383682,3.4873438328333344,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,105.93848320011347
0.5253156950268293,3.487278156333334,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,108.47896705066302
0.5679168764774482,3.4852925191666673,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,111.0156191005329
0.6081370251279576,3.4809642435000008,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,113.41049452525905
0.6499659797244874,3.476883555833334,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,115.90116496697425
0.6934037402670377,3.4735184541666673,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,118.48763042567849
0.7368415008095879,3.471823230333334,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,121.07409588438273
0.7770616494600974,3.4720824486666673,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,123.46897130910888
0.8172817981106069,3.4769176463333342,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,125.86384673383503
0.8575019467611164,3.4836665210000004,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,128.25872215856117
0.8961132894656055,3.499535024666667,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,130.55780256629828
0.9363334381161149,3.524998470166667,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,132.95267799102444
0.9701183629825428,3.556443512166667,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,134.9643733477944
1.0055120937949908,3.5717369601666666,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,137.0718637215534
1.04412343649948,3.5845656700000004,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,139.3709441292905
1.0827347792039692,3.6024645203333336,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,141.67002453702761
1.1181285100164173,3.635301238166667,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,143.7775149107866
1.1551310467748863,3.6636736028333337,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,145.98080030153469
1.1905247775873344,3.6891535983333332,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,148.0882906752937
1.2291361202918236,3.714411051666666,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,150.3873710830308
1.269356268942333,3.7667879086666667,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,152.78224650775695
1.316011641376924,3.810949914,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,155.56030200043926
1.3594494019194743,3.885721644666667,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,158.14676745914352
1.4012783565160043,3.9543439905,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,160.63743790085874
1.4527601467886564,3.9823594630000003,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,163.7028784445082
1.5025687788774458,4.0138236335,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,166.66869217048895
1.5541149213879404,4.057177482,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,169.7379645148181
1.6152495473367143,4.169914328333333,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,173.37817516040184
1.6854578388210488,4.238347733,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,177.5586697018041
1.7648685003166098,4.303811550333333,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,182.28711174038312
1.8485264095096694,4.347467751833334,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,187.26845262381352
1.93701073654079,4.396086082000001,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,192.53717855821102
2.0818032716826242,4.425191528166667,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,201.15873008722517
2.285220695497439,4.442067469,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,213.27105203532003
2.5901859506250635,4.448043344166667,77.19947927018325,59.544171393703046,creek_depth,Spring/Summer,2,S2,231.4299554557637
-1.2509346581645784,3.2543036936666665,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,-3.926899866541305
-1.0967993879559186,3.2463989301666665,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,5.9446357497604225
-1.0918801772045785,3.2434669,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,6.259684758791309
-1.0886007033703518,3.2424684593333333,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,6.4697174314785855
-1.0836814926190115,3.241546931166667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,6.7847664405095
-1.0787622818676712,3.242622666,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,7.099815449540401
-1.073843071116331,3.242531018166667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,7.414864458571316
-1.0705635972821042,3.2425694033333334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,7.624897131258578
-1.0640046496136506,3.2425952176666666,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,8.044962476633117
-1.0590854388623105,3.2427733668333336,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,8.360011485664018
-1.05416622811097,3.2430025445,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,8.675060494694947
-1.04924701735963,3.2438300588333333,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,8.990109503725833
-1.0459675435254032,3.2438793928333336,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,9.20014217641311
-1.0394085958569497,3.244294198,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,9.620207521787648
-1.0344893851056094,3.2488358920000002,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,9.935256530818563
-1.0295701743542691,3.2494668043333332,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,10.250305539849464
-1.0279304374371556,3.249556437,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,10.355321876193102
-1.0246509636029288,3.2497479081666665,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,10.565354548880379
-1.0197317528515888,3.2493651551666667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,10.88040355791128
-1.0164522790173618,3.2488884611666666,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,11.090436230598556
-1.013172805183135,3.249520609,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,11.300468903285832
-1.0082535944317947,3.249721269666667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,11.615517912316733
-1.0016946467633412,3.249830498,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,12.035583257691272
-0.9951356990948876,3.2499389001666668,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,12.45564860306581
-0.9869370145093207,3.250034632,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,12.980730284783988
-0.9787383299237536,3.2506309115,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,13.505811966502165
-0.9688999084210732,3.2503834536666667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,14.13590998456398
-0.9590614869183928,3.2502656848333333,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,14.766008002625796
-0.9508628023328257,3.250258887166667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,15.291089684343973
-0.9443038546643722,3.2502411818333337,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,15.711155029718512
-0.9344654331616917,3.2503819838333334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,16.341253047780327
-0.9180680639905577,3.2505707335,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,17.391416411216674
-0.9000309579023104,3.2507253046666666,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,18.546596110996667
-0.8803541148969495,3.2507657698333334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,19.80679214712029
-0.854118324223135,3.2509320703333335,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,21.48705352861846
-0.8229633227979803,3.2508343833333337,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,23.482363919147538
-0.7901685844557124,3.2507363788333334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,25.58269064602024
-0.7573738461134443,3.2504094493333335,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,27.683017372892955
-0.7196598970198361,3.249495910166667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,30.098393108796557
-0.6835856848433411,3.2492125373333334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,32.40875250835655
-0.6442319988326195,3.248964138333333,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,34.9291445806038
-0.6032385759047845,3.2487789533333333,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,37.55455298919468
-0.5606054160598359,3.248447748166667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,40.28497773412921
-0.5179722562148875,3.248266596666667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,43.015402479063724
-0.47697883328705243,3.2481165211666667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,45.64081088765461
-0.4359854103592174,3.2479148585,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,48.266219296245495
